geography_level,city,neighbourhood,variable,category,n,pct
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Don't know,4,2.38
neighbourhood,Accra,Madina,trust_neighbours,Yes,101,45.5
neighbourhood,Accra,Madina,trust_neighbours,Mixed,69,31.08
neighbourhood,Accra,Madina,trust_neighbours,No,50,22.52
neighbourhood,Accra,Madina,trust_neighbours,Missing,1,0.45
neighbourhood,Accra,Madina,trust_neighbours,Don't know,1,0.45
neighbourhood,Accra,Old Fadama,trust_neighbours,Mixed,90,47.87
neighbourhood,Accra,Old Fadama,trust_neighbours,Yes,53,28.19
neighbourhood,Accra,Old Fadama,trust_neighbours,No,44,23.4
neighbourhood,Accra,Old Fadama,trust_neighbours,Missing,1,0.53
neighbourhood,Accra,James Town,trust_neighbours,Yes,70,40.94
neighbourhood,Accra,James Town,trust_neighbours,Mixed,70,40.94
neighbourhood,Accra,James Town,trust_neighbours,No,27,15.79
neighbourhood,Accra,James Town,trust_neighbours,Don't know,4,2.34
neighbourhood,Johannesburg,Berea,trust_neighbours,Yes,103,56.28
neighbourhood,Johannesburg,Berea,trust_neighbours,Mixed,40,21.86
neighbourhood,Johannesburg,Berea,trust_neighbours,No,36,19.67
neighbourhood,Johannesburg,Berea,trust_neighbours,Don't know,3,1.64
neighbourhood,Johannesburg,Berea,trust_neighbours,Missing,1,0.55
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Yes,92,54.76
neighbourhood,Johannesburg,Katlehong,trust_neighbours,No,43,25.6
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Mixed,30,17.86
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Don't know,3,1.79
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Yes,97,59.15
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Mixed,39,23.78
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,No,27,16.46
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Don't know,1,0.61
neighbourhood,Nairobi,Kawangware,stay_or_go,Stay in neighbourhood,108,52.17
neighbourhood,Nairobi,Kawangware,stay_or_go,Move within country,54,26.09
neighbourhood,Nairobi,Kawangware,stay_or_go,Leave country,26,12.56
neighbourhood,Nairobi,Kawangware,stay_or_go,Missing,19,9.18
neighbourhood,Nairobi,Kayole,stay_or_go,Stay in neighbourhood,130,75.58
neighbourhood,Nairobi,Kayole,stay_or_go,Leave country,20,11.63
neighbourhood,Nairobi,Kayole,stay_or_go,Move within country,19,11.05
neighbourhood,Nairobi,Kayole,stay_or_go,Missing,3,1.74
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Stay in neighbourhood,126,75.0
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Leave country,26,15.48
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Move within country,16,9.52
neighbourhood,Accra,Madina,stay_or_go,Stay in neighbourhood,112,50.45
neighbourhood,Accra,Madina,stay_or_go,Leave country,58,26.13
neighbourhood,Accra,Madina,stay_or_go,Move within country,49,22.07
neighbourhood,Accra,Madina,stay_or_go,Missing,3,1.35
neighbourhood,Accra,Old Fadama,stay_or_go,Stay in neighbourhood,91,48.4
neighbourhood,Accra,Old Fadama,stay_or_go,Move within country,60,31.91
neighbourhood,Accra,Old Fadama,stay_or_go,Leave country,36,19.15
neighbourhood,Accra,Old Fadama,stay_or_go,Missing,1,0.53
neighbourhood,Accra,James Town,stay_or_go,Stay in neighbourhood,73,42.69
neighbourhood,Accra,James Town,stay_or_go,Leave country,56,32.75
neighbourhood,Accra,James Town,stay_or_go,Move within country,42,24.56
neighbourhood,Johannesburg,Berea,stay_or_go,Stay in neighbourhood,124,67.76
neighbourhood,Johannesburg,Berea,stay_or_go,Move within country,41,22.4
