geography_level,city,neighbourhood,variable,category,n,denominator,share
neighbourhood,Johannesburg,Katlehong,trust_police,No,70,,0.4167
neighbourhood,Johannesburg,Katlehong,trust_police,Mixed,21,,0.125
neighbourhood,Johannesburg,Katlehong,trust_police,Don't know,5,,0.0298
neighbourhood,Johannesburg,Diepsloot,trust_police,No,71,,0.4329
neighbourhood,Johannesburg,Diepsloot,trust_police,Yes,65,,0.39630000000000004
neighbourhood,Johannesburg,Diepsloot,trust_police,Mixed,26,,0.1585
neighbourhood,Johannesburg,Diepsloot,trust_police,Don't know,2,,0.012199999999999999
neighbourhood,Nairobi,Kawangware,trust_councillor,No,101,,0.4879
neighbourhood,Nairobi,Kawangware,trust_councillor,Yes,72,,0.3478
neighbourhood,Nairobi,Kawangware,trust_councillor,Mixed,15,,0.0725
neighbourhood,Nairobi,Kawangware,trust_councillor,Don't know,10,,0.0483
neighbourhood,Nairobi,Kawangware,trust_councillor,Missing,9,,0.0435
neighbourhood,Nairobi,Kayole,trust_councillor,Yes,79,,0.4593
neighbourhood,Nairobi,Kayole,trust_councillor,No,63,,0.3663
neighbourhood,Nairobi,Kayole,trust_councillor,Mixed,20,,0.11630000000000001
neighbourhood,Nairobi,Kayole,trust_councillor,Don't know,9,,0.052300000000000006
neighbourhood,Nairobi,Kayole,trust_councillor,Missing,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Yes,87,,0.5179
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,No,44,,0.2619
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Mixed,26,,0.1548
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Don't know,11,,0.0655
neighbourhood,Accra,Madina,trust_councillor,No,111,,0.5
neighbourhood,Accra,Madina,trust_councillor,Yes,68,,0.3063
neighbourhood,Accra,Madina,trust_councillor,Don't know,23,,0.1036
neighbourhood,Accra,Madina,trust_councillor,Mixed,19,,0.08560000000000001
neighbourhood,Accra,Madina,trust_councillor,Missing,1,,0.0045000000000000005
neighbourhood,Accra,Old Fadama,trust_councillor,No,77,,0.4096
neighbourhood,Accra,Old Fadama,trust_councillor,Mixed,46,,0.2447
neighbourhood,Accra,Old Fadama,trust_councillor,Yes,40,,0.21280000000000002
neighbourhood,Accra,Old Fadama,trust_councillor,Don't know,24,,0.1277
neighbourhood,Accra,Old Fadama,trust_councillor,Missing,1,,0.0053
neighbourhood,Accra,James Town,trust_councillor,Mixed,60,,0.35090000000000005
neighbourhood,Accra,James Town,trust_councillor,Yes,50,,0.2924
neighbourhood,Accra,James Town,trust_councillor,No,43,,0.2515
neighbourhood,Accra,James Town,trust_councillor,Don't know,18,,0.10529999999999999
neighbourhood,Johannesburg,Berea,trust_councillor,No,66,,0.3607
neighbourhood,Johannesburg,Berea,trust_councillor,Yes,49,,0.26780000000000004
neighbourhood,Johannesburg,Berea,trust_councillor,Don't know,43,,0.235
neighbourhood,Johannesburg,Berea,trust_councillor,Mixed,24,,0.1311
neighbourhood,Johannesburg,Berea,trust_councillor,Missing,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,trust_councillor,No,81,,0.48210000000000003
neighbourhood,Johannesburg,Katlehong,trust_councillor,Yes,57,,0.3393
neighbourhood,Johannesburg,Katlehong,trust_councillor,Mixed,15,,0.08929999999999999
neighbourhood,Johannesburg,Katlehong,trust_councillor,Don't know,15,,0.08929999999999999
neighbourhood,Johannesburg,Diepsloot,trust_councillor,No,82,,0.5
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Yes,41,,0.25
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Mixed,23,,0.1402
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Don't know,18,,0.10980000000000001
neighbourhood,Nairobi,Kawangware,trust_neighbours,Yes,130,,0.628
neighbourhood,Nairobi,Kawangware,trust_neighbours,Mixed,36,,0.1739
neighbourhood,Nairobi,Kawangware,trust_neighbours,No,30,,0.1449
neighbourhood,Nairobi,Kawangware,trust_neighbours,Missing,9,,0.0435
neighbourhood,Nairobi,Kawangware,trust_neighbours,Don't know,2,,0.0097
neighbourhood,Nairobi,Kayole,trust_neighbours,Yes,118,,0.6859999999999999
neighbourhood,Nairobi,Kayole,trust_neighbours,Mixed,40,,0.23260000000000003
neighbourhood,Nairobi,Kayole,trust_neighbours,No,12,,0.0698
neighbourhood,Nairobi,Kayole,trust_neighbours,Missing,1,,0.0058
neighbourhood,Nairobi,Kayole,trust_neighbours,Don't know,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Yes,120,,0.7143
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Mixed,36,,0.2143
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,No,8,,0.047599999999999996
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Don't know,4,,0.023799999999999998
neighbourhood,Accra,Madina,trust_neighbours,Yes,101,,0.455
neighbourhood,Accra,Madina,trust_neighbours,Mixed,69,,0.31079999999999997
neighbourhood,Accra,Madina,trust_neighbours,No,50,,0.22519999999999998
neighbourhood,Accra,Madina,trust_neighbours,Missing,1,,0.0045000000000000005
neighbourhood,Accra,Madina,trust_neighbours,Don't know,1,,0.0045000000000000005
neighbourhood,Accra,Old Fadama,trust_neighbours,Mixed,90,,0.47869999999999996
neighbourhood,Accra,Old Fadama,trust_neighbours,Yes,53,,0.28190000000000004
neighbourhood,Accra,Old Fadama,trust_neighbours,No,44,,0.23399999999999999
neighbourhood,Accra,Old Fadama,trust_neighbours,Missing,1,,0.0053
neighbourhood,Accra,James Town,trust_neighbours,Yes,70,,0.4094
neighbourhood,Accra,James Town,trust_neighbours,Mixed,70,,0.4094
neighbourhood,Accra,James Town,trust_neighbours,No,27,,0.15789999999999998
neighbourhood,Accra,James Town,trust_neighbours,Don't know,4,,0.023399999999999997
neighbourhood,Johannesburg,Berea,trust_neighbours,Yes,103,,0.5628
neighbourhood,Johannesburg,Berea,trust_neighbours,Mixed,40,,0.2186
neighbourhood,Johannesburg,Berea,trust_neighbours,No,36,,0.1967
neighbourhood,Johannesburg,Berea,trust_neighbours,Don't know,3,,0.016399999999999998
neighbourhood,Johannesburg,Berea,trust_neighbours,Missing,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Yes,92,,0.5476
neighbourhood,Johannesburg,Katlehong,trust_neighbours,No,43,,0.256
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Mixed,30,,0.17859999999999998
neighbourhood,Johannesburg,Katlehong,trust_neighbours,Don't know,3,,0.0179
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Yes,97,,0.5915
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Mixed,39,,0.2378
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,No,27,,0.1646
neighbourhood,Johannesburg,Diepsloot,trust_neighbours,Don't know,1,,0.0060999999999999995
neighbourhood,Nairobi,Kawangware,stay_or_go,Stay in neighbourhood,108,,0.5217
neighbourhood,Nairobi,Kawangware,stay_or_go,Move within country,54,,0.2609
neighbourhood,Nairobi,Kawangware,stay_or_go,Leave country,26,,0.12560000000000002
neighbourhood,Nairobi,Kawangware,stay_or_go,Missing,19,,0.09179999999999999
neighbourhood,Nairobi,Kayole,stay_or_go,Stay in neighbourhood,130,,0.7558
neighbourhood,Nairobi,Kayole,stay_or_go,Leave country,20,,0.11630000000000001
neighbourhood,Nairobi,Kayole,stay_or_go,Move within country,19,,0.1105
neighbourhood,Nairobi,Kayole,stay_or_go,Missing,3,,0.0174
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Stay in neighbourhood,126,,0.75
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Leave country,26,,0.1548
neighbourhood,Nairobi,Ongata Rongai,stay_or_go,Move within country,16,,0.09519999999999999
neighbourhood,Accra,Madina,stay_or_go,Stay in neighbourhood,112,,0.5045000000000001
neighbourhood,Accra,Madina,stay_or_go,Leave country,58,,0.2613
neighbourhood,Accra,Madina,stay_or_go,Move within country,49,,0.2207
neighbourhood,Accra,Madina,stay_or_go,Missing,3,,0.013500000000000002
neighbourhood,Accra,Old Fadama,stay_or_go,Stay in neighbourhood,91,,0.484
neighbourhood,Accra,Old Fadama,stay_or_go,Move within country,60,,0.3191
neighbourhood,Accra,Old Fadama,stay_or_go,Leave country,36,,0.19149999999999998
neighbourhood,Accra,Old Fadama,stay_or_go,Missing,1,,0.0053
neighbourhood,Accra,James Town,stay_or_go,Stay in neighbourhood,73,,0.4269
neighbourhood,Accra,James Town,stay_or_go,Leave country,56,,0.3275
neighbourhood,Accra,James Town,stay_or_go,Move within country,42,,0.24559999999999998
neighbourhood,Johannesburg,Berea,stay_or_go,Stay in neighbourhood,124,,0.6776000000000001
neighbourhood,Johannesburg,Berea,stay_or_go,Move within country,41,,0.22399999999999998
neighbourhood,Johannesburg,Berea,stay_or_go,Leave country,14,,0.0765
neighbourhood,Johannesburg,Berea,stay_or_go,Missing,4,,0.0219
neighbourhood,Johannesburg,Katlehong,stay_or_go,Stay in neighbourhood,114,,0.6786
neighbourhood,Johannesburg,Katlehong,stay_or_go,Move within country,33,,0.19640000000000002
neighbourhood,Johannesburg,Katlehong,stay_or_go,Leave country,20,,0.11900000000000001
neighbourhood,Johannesburg,Katlehong,stay_or_go,Missing,1,,0.006
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Stay in neighbourhood,116,,0.7073
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Move within country,29,,0.17679999999999998
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Leave country,19,,0.1159
neighbourhood,Nairobi,Kawangware,medium_term_goal,Stay here,130,,0.628
neighbourhood,Nairobi,Kawangware,medium_term_goal,Don't know,24,,0.1159
neighbourhood,Nairobi,Kawangware,medium_term_goal,Missing,19,,0.09179999999999999
neighbourhood,Nairobi,Kawangware,medium_term_goal,Move within city,16,,0.07730000000000001
neighbourhood,Nairobi,Kawangware,medium_term_goal,Return to origin community,12,,0.057999999999999996
neighbourhood,Nairobi,Kawangware,medium_term_goal,Move within home country,6,,0.028999999999999998
neighbourhood,Nairobi,Kayole,medium_term_goal,Stay here,145,,0.843
neighbourhood,Nairobi,Kayole,medium_term_goal,Don't know,16,,0.09300000000000001
neighbourhood,Nairobi,Kayole,medium_term_goal,Missing,3,,0.0174
neighbourhood,Nairobi,Kayole,medium_term_goal,Return to origin community,3,,0.0174
neighbourhood,Nairobi,Kayole,medium_term_goal,Move to third country,2,,0.0116
neighbourhood,Nairobi,Kayole,medium_term_goal,Move within city,2,,0.0116
neighbourhood,Nairobi,Kayole,medium_term_goal,Move within home country,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Stay here,134,,0.7976000000000001
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Don't know,11,,0.0655
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move to third country,7,,0.0417
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move within home country,6,,0.035699999999999996
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move within city,5,,0.0298
